"cod_dpto","nom_dpto","cod_prov","nom_prov","nom_cap","num_dist","sup_tot","pob_total","total_pers","c5_p2_1","c5_p2_2","num_viv_pa","num_viv_op","num_hog","almenosuna","c1nbi_abs","c2nbi_abs","c3nbi_abs","c4nbi_abs","c5nbi_abs","nbi1_abs","nbi2_abs","nbi3_abs","nbi4_abs","nbi5_abs","vs_sh","vs_agua_rp","vs_aelec","v_ptierra","v_1hab","h_lenna","h_cocin","hs_pclptb","hs_tcelu","hs_inter","pet","pea","peao","pead","pei","c5_p12_2","c5_p12_1","c5_p8_6","c5_p8_1","c5_p9_3","c5_p9_4","c5_p9_5","c5_p9_6","c5_p10_1","c5_p10_4","gr_edad_1","gr_edad_2","gr_edad_3","gr_edad_4","gr_edad_5","gr_quin_1","gr_quin_2","gr_quin_3","gr_quin_4","gr_quin_5","p_sex_h","p_sex_m","almenosu_1","c1nbi_porc","c2nbi_porc","c3nbi_porc","c4nbi_porc","c5nbi_porc","nbi1_porc","nbi2_porc","nbi3_porc","nbi4_porc","nbi5_porc","pvs_sh","pvs_agua_r","pvs_aelec","pv_ptierra","pv_1hab","ph_cocin","phs_pclptb","phs_tcelu","phs_inter","p_pet","p_pea","p_pea_o","p_pea_d","p_pei","p_lees_no","p_lees_si","p_af_ning","p_af_sis","p_dl_hab","p_dl_mov","p_dl_ent","p_dl_rel","p_dni","p_no_docum","p_ge_0a14","p_ge_15a29","p_ge_30a44","p_ge_45a64","p_ge_65ym","pgr_quin1","pgr_quin2","pgr_quin3","pgr_quin4","pgr_quin5","fuente"
"2","ANCASH","204","ASUNCION","CHACAS","2","528.66","7,378","6,975","3,522","3,856","3,783","2,302","2,359","1,987","1,657","292","38","0","0","39","624","749","112","831","674","212","270","1,834","498","2,184","2,194","2,168","554","2,316","5,448","2,033","1,903","130","3,415","1,737","5,309","672","5,337","104","560","171","68","7,281","7","2,071","1,395","1,377","1,172","1,363","591","682","798","646","378","47.736514","52.263486","28.487455","23.756272","4.18638","0.544803","0","0","0.55914","8.946237","10.738351","1.605735","11.913978","29.278888","9.209383","11.728931","79.669852","21.633362","93.005511","91.903349","23.484527","98.177194","73.841149","27.554893","25.792898","1.761995","46.286256","23.542966","71.95717","9.108159","72.336677","1.409596","7.590133","2.317701","0.921659","98.685281","0.094877","28.069938","18.907563","18.663594","15.885064","18.473841","8.010301","9.243697","10.815939","8.75576","5.12334","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"2","ANCASH","205","BOLOGNESI","CHIQUIAN","15","3,154.80","23,797","21,380","12,179","11,618","11,531","6,818","7,187","7,870","6,208","1,435","207","20","0","635","3,108","4,549","451","1,036","2,284","1,296","1,443","4,773","1,871","5,416","5,914","6,503","2,155","7,004","18,020","9,500","8,953","547","8,520","2,895","19,861","4,333","15,559","152","781","240","147","23,508","108","6,185","5,156","4,876","3,718","3,862","1,792","2,147","2,246","1,952","1,557","51.17872","48.82128","36.810103","29.036483","6.71188","0.968195","0.093545","0","2.970065","14.53695","21.276894","2.109448","4.84565","33.49956","19.008507","21.164564","70.005867","27.442065","82.287463","90.482816","29.984695","97.453736","75.723831","39.920998","37.622389","2.298609","35.802832","12.165399","83.4601","18.208178","65.382191","0.638736","3.281926","1.00853","0.617725","98.785561","0.453839","25.990671","21.666597","20.489978","15.623818","16.228936","7.530361","9.022146","9.438164","8.202715","6.542842","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"2","ANCASH","206","CARHUAZ","CARHUAZ","11","803.95","45,184","44,247","21,786","23,398","17,757","13,003","13,492","13,175","10,649","2,155","360","7","4","258","3,817","6,669","1,123","4,220","4,985","1,576","2,655","9,355","2,444","11,383","11,432","12,177","4,519","12,537","33,935","15,478","14,296","1,182","18,457","10,214","32,796","4,929","36,131","223","2,259","574","362","44,920","79","12,038","10,897","9,094","6,751","6,404","3,872","3,996","4,170","3,768","3,655","48.216183","51.783817","29.77603","24.067168","4.870387","0.813614","0.01582","0.00904","0.58309","8.626574","15.072208","2.538025","9.53737","38.337307","12.12028","20.418365","71.944936","18.795663","84.731693","90.253484","33.493922","92.921731","75.104019","34.255489","31.639518","2.61597","40.84853","22.605347","72.583215","10.908729","79.964147","0.493538","4.999557","1.270361","0.801169","99.415722","0.174841","26.642174","24.116944","20.126593","14.94113","14.173159","8.569405","8.843839","9.228931","8.339235","8.089147","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"2","ANCASH","207","CARLOS FERMIN FITZCARRALD","SAN LUIS","3","624.25","17,717","16,667","8,432","9,285","8,290","5,188","5,308","8,496","6,236","1,829","407","24","0","72","1,626","5,989","487","3,037","3,458","652","1,790","4,551","1,085","4,954","4,966","4,969","1,860","5,232","12,615","4,008","3,647","361","8,607","4,546","12,285","949","15,101","194","741","432","172","17,573","58","5,470","3,460","3,208","2,377","3,202","1,601","1,812","2,057","1,591","891","47.592708","52.407292","50.974981","37.415252","10.973781","2.441951","0.143997","0","0.431991","9.755805","35.933281","2.921942","18.221636","66.653816","12.567463","34.502699","87.721665","20.913647","93.556895","93.613414","35.041447","98.568199","71.2028","22.62234","20.584749","2.037591","48.580459","25.658972","69.340182","5.356437","85.234521","1.094994","4.182424","2.438336","0.970819","99.187221","0.327369","30.874302","19.529266","18.106903","13.416493","18.073037","9.036519","10.227465","11.610318","8.980076","5.029068","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"2","ANCASH","208","CASMA","CASMA","4","2,262.86","50,989","50,031","25,499","25,490","22,533","14,561","15,239","16,595","13,594","2,525","429","47","0","11,811","3,324","1,959","1,015","2,010","6,590","3,514","2,924","7,303","2,415","7,151","7,347","12,520","2,586","13,284","37,511","21,591","20,516","1,075","15,920","6,696","41,579","12,753","27,818","313","1,312","577","351","50,287","227","14,335","11,984","10,724","7,818","6,128","4,707","5,036","4,592","3,805","4,139","50.008825","49.991175","33.169435","27.171154","5.046871","0.857468","0.093942","0","23.607363","6.643881","3.915572","2.028742","4.017509","45.257881","24.132958","20.081038","50.154522","16.585399","48.211825","82.157622","16.969617","87.171074","73.566848","42.344427","40.236129","2.108298","31.222421","13.132244","81.545039","25.011277","54.556865","0.613858","2.573104","1.131617","0.688384","98.623232","0.445194","28.113907","23.503109","21.031987","15.332719","12.018278","9.231403","9.87664","9.005864","7.462394","8.117437","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"2","ANCASH","209","CORONGO","CORONGO","7","988.01","7,532","7,241","3,837","3,695","3,066","2,025","2,103","2,586","2,212","344","30","0","0","14","666","1,648","149","513","732","403","209","1,600","247","1,882","1,890","1,978","616","2,048","5,610","2,316","2,186","130","3,294","1,175","6,005","1,387","5,256","60","234","69","80","7,416","32","2,071","1,423","1,426","1,190","1,422","633","695","743","515","428","50.942645","49.057355","35.713299","30.548267","4.750725","0.414307","0","0","0.193343","9.197625","22.759287","2.057727","7.084657","36.148148","19.901235","10.320988","79.012346","12.197531","89.871612","94.05611","29.291488","97.384689","74.482209","30.748805","29.022836","1.725969","43.733404","15.600106","79.7265","18.414764","69.782262","0.796601","3.106745","0.916091","1.062135","98.459904","0.424854","27.496017","18.892724","18.932554","15.799257","18.879448","8.404142","9.227297","9.864578","6.837493","5.682422","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"2","ANCASH","210","HUARI","HUARI","16","2,771.90","58,714","51,736","30,566","28,148","23,329","15,374","16,314","19,920","14,933","3,932","949","90","16","614","6,991","9,864","1,916","6,699","5,349","975","2,955","12,247","3,865","14,431","14,551","15,187","5,536","15,883","43,194","19,020","17,504","1,516","24,174","11,107","44,747","4,169","44,572","482","2,263","534","432","58,363","89","16,668","12,883","12,524","8,492","8,147","5,092","5,648","5,928","4,643","3,726","52.059134","47.940866","38.50317","28.863847","7.600124","1.834313","0.17396","0.030926","1.186794","13.512834","19.066028","3.703417","12.94843","34.792507","6.341876","19.220762","79.660466","25.139846","89.193331","93.091823","33.934044","97.358097","73.566781","32.394318","29.812311","2.582008","41.172463","18.917124","76.211806","7.100521","75.913751","0.820929","3.854277","0.909493","0.73577","99.402187","0.151582","28.388459","21.941956","21.330517","14.463331","13.875737","8.672548","9.619512","10.096399","7.907824","6.346016","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"2","ANCASH","211","HUARMEY","HUARMEY","5","3,903.82","30,560","29,310","15,544","15,016","12,753","9,230","9,558","11,042","8,411","2,317","281","33","0","7,444","2,260","2,922","744","650","3,631","2,210","1,482","3,854","1,938","2,684","2,884","7,687","1,611","8,279","22,875","13,671","13,074","597","9,204","2,762","26,222","7,473","15,690","188","758","284","210","30,207","125","8,130","7,129","6,475","4,914","3,912","2,696","2,780","2,654","2,235","2,497","50.863874","49.136126","37.673149","28.696691","7.905152","0.958717","0.11259","0","25.397475","7.710679","9.969294","2.538383","2.217673","39.339112","23.943662","16.056338","41.755146","20.99675","30.173677","80.424775","16.854991","86.618539","74.852749","44.734948","42.781414","1.953534","30.117801","9.037958","85.804974","24.453534","51.341623","0.615183","2.480366","0.929319","0.687173","98.844895","0.409031","26.603403","23.32788","21.187827","16.079843","12.801047","8.82199","9.096859","8.684555","7.313482","8.170812","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"2","ANCASH","212","HUAYLAS","CARAZ","10","2,292.78","51,334","50,633","25,184","26,150","20,368","14,329","15,010","14,414","11,730","2,333","337","9","5","329","4,453","5,093","1,570","6,023","6,838","2,639","2,298","9,797","2,185","11,351","11,425","13,351","4,564","13,665","37,270","17,987","17,013","974","19,283","9,834","38,756","6,325","38,996","316","1,723","569","305","50,967","117","15,175","11,755","10,008","7,539","6,857","4,685","4,874","5,616","4,562","3,697","49.059103","50.940897","28.4676","23.166709","4.607667","0.665574","0.017775","0.009875","0.649774","8.79466","10.058657","3.100745","11.895404","47.721404","18.417196","16.037407","68.371833","15.248796","76.115923","88.947368","30.406396","91.039307","72.602953","35.039155","33.141777","1.897378","37.563798","19.156894","75.497721","12.321269","75.965247","0.615576","3.35645","1.108427","0.594148","99.285074","0.227919","29.561304","22.899053","19.495851","14.686173","13.357619","9.126505","9.494682","10.940118","8.886898","7.201855","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"2","ANCASH","213","MARISCAL LUZURIAGA","PISCOBAMBA","8","730.58","20,284","20,016","9,720","10,564","9,022","5,885","6,133","11,196","7,697","2,811","651","37","0","31","3,159","7,147","811","4,272","4,950","2,447","1,795","5,471","1,633","5,939","5,947","5,926","2,727","6,098","14,124","3,842","2,842","1,000","10,282","5,476","13,802","845","17,682","191","1,283","230","197","20,096","69","6,630","4,191","3,752","2,864","2,847","1,828","2,215","2,587","1,924","1,071","47.919542","52.080458","55.935252","38.454237","14.043765","3.252398","0.184852","0","0.154876","15.782374","35.706435","4.051759","21.342926","84.11215","41.580289","30.501274","92.965166","27.748513","96.967226","96.624817","44.464373","99.429317","69.631236","18.941037","14.011043","4.929994","50.690199","26.996648","68.043778","4.165845","87.172155","0.941629","6.325182","1.133899","0.971209","99.073161","0.34017","32.685861","20.661605","18.497338","14.119503","14.035693","9.012029","10.919937","12.753895","9.485309","5.280024","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"2","ANCASH","214","OCROS","OCROS","10","1,925.43","7,039","6,742","3,678","3,361","4,924","2,549","2,617","3,714","2,726","861","113","14","0","834","842","2,868","60","239","1,415","851","797","2,156","789","2,240","2,321","2,531","923","2,571","5,412","3,230","2,998","232","2,182","726","5,979","1,837","4,524","50","311","86","46","6,993","15","1,729","1,330","1,391","1,161","1,428","544","578","607","424","442","52.25174","47.74826","55.087511","40.433106","12.770691","1.676061","0.207654","0","12.370217","12.488876","42.539306","0.889944","3.544942","55.511965","33.385641","31.267164","84.582189","30.953315","88.689339","96.713794","35.269392","98.242262","76.885921","45.8872","42.591277","3.295923","30.998721","10.313965","84.941043","26.097457","64.270493","0.710328","4.418241","1.221764","0.653502","99.346498","0.213098","24.563148","18.894729","19.76133","16.49382","20.286973","7.728371","8.211394","8.623384","6.023583","6.279301","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"2","ANCASH","215","PALLASCA","CABANA","11","2,101.21","23,491","22,682","11,554","11,937","10,503","6,405","6,812","6,576","5,115","1,268","165","28","0","357","2,103","3,493","365","1,940","2,807","999","1,193","5,449","898","6,305","6,429","6,414","2,022","6,710","16,257","6,276","5,896","380","9,981","3,986","18,239","2,113","19,206","158","626","216","97","23,064","122","7,731","4,530","4,217","3,558","3,455","2,301","2,662","2,768","1,854","1,344","49.184794","50.815206","28.992152","22.550921","5.590336","0.727449","0.123446","0","1.573935","9.271669","15.399877","1.609206","8.553038","43.825137","15.59719","18.626073","85.074161","14.020297","94.377569","94.157369","29.682913","98.502642","69.205228","26.716615","25.098974","1.617641","42.488613","16.968201","77.642501","8.994934","81.758972","0.672598","2.66485","0.919501","0.412924","98.182283","0.519348","32.910476","19.283981","17.951556","15.146226","14.70776","9.795241","11.331999","11.783236","7.892384","5.72134","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"2","ANCASH","216","POMABAMBA","POMABAMBA","4","914.05","24,794","24,499","11,791","13,003","10,637","6,944","7,286","9,563","7,206","2,023","302","32","0","86","2,546","3,210","1,108","5,336","4,452","988","2,273","5,709","1,178","6,653","6,675","6,620","2,680","7,168","17,305","5,045","4,521","524","12,260","6,830","16,723","1,053","20,664","224","973","287","242","24,501","142","8,077","5,080","4,552","3,711","3,374","2,219","2,718","3,140","2,383","1,329","47.55586","52.44414","39.034246","29.413445","8.25748","1.232703","0.130618","0","0.351035","10.392261","13.102576","4.522634","21.780481","64.112903","14.228111","32.733295","82.214862","16.964286","91.614054","90.859182","36.782871","98.380456","69.795112","20.347665","18.23425","2.113415","49.447447","27.546987","67.44777","4.246995","83.342744","0.903444","3.924337","1.157538","0.976043","98.818262","0.572719","32.57643","20.488828","18.35928","14.967331","13.608131","8.949746","10.96233","12.664354","9.611196","5.360168","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
